title,author,isbn,call_number,call_prefix,subjects,summary,series,reading_level,ol_summary,ol_subjects,ol_pages,gb_summary,gb_categories,gb_pages,gb_rating,enriched_summary,enriched_subjects,pages
The worlds we leave behind,"Harrold, A. F. 1975-",9781547610952,F,FIC,Friendship -- Fiction. | Betrayal -- Fiction. | Supernatural -- Fiction. | Paranormal fiction.,"""After an accident in the woods involving a young girl, eleven-year-old Hex meets a mysterious woman who offers him a deal to change his world, which sets off a ripple effect that Hex's best friend Tommo must rectify""--OCLC.",,5.3.,,,256,,,,,"""After an accident in the woods involving a young girl, eleven-year-old Hex meets a mysterious woman who offers him a deal to change his world, which sets off a ripple effect that Hex's best friend Tommo must rectify""--OCLC.",Friendship -- Fiction. | Betrayal -- Fiction. | Supernatural -- Fiction. | Paranormal fiction.,256
Dear Mothman,"Gow, Robin.",9781419764400,F,FIC,Gender identity -- Fiction. | Grief -- Fiction. | Letters -- Fiction. | Mothman -- Fiction.,"After the death of his best friend and the only other trans boy at school, Noah starts writing letters expressing his feelings to the humanoid creature Mothman and risks everything when he treks into the woods to prove Mothman's existence.",,3.8.,,,320,,,,,"After the death of his best friend and the only other trans boy at school, Noah starts writing letters expressing his feelings to the humanoid creature Mothman and risks everything when he treks into the woods to prove Mothman's existence.",Gender identity -- Fiction. | Grief -- Fiction. | Letters -- Fiction. | Mothman -- Fiction.,320
Howl's moving castle,"Jones, Diana Wynne",0688062334,F Jon,FIC,Fantasy fiction | Witches -- Fiction. | Magic -- Fiction.,"Eldest of three sisters in a land where it is considered to be a misfortune, Sophie is resigned to her fate as a hat shop apprentice until a witch turns her into an old woman and she finds herself in the castle of the greatly feared wizard Howl.",,5.4,,"Blessing and cursing|Castles|Fantasy|Fiction|Witches|Wizards|deamons|magic|Sisters|Fantasy fiction|Children's fiction|Wizards, fiction|Howl, the magician (fictitious character), fiction|Young adults|Juvenile fiction",212,,,,,"Eldest of three sisters in a land where it is considered to be a misfortune, Sophie is resigned to her fate as a hat shop apprentice until a witch turns her into an old woman and she finds herself in the castle of the greatly feared wizard Howl.","Fantasy fiction | Witches -- Fiction. | Magic -- Fiction.|Blessing and cursing|Castles|Fantasy|Fiction|Witches|Wizards|deamons|magic|Sisters|Fantasy fiction|Children's fiction|Wizards, fiction|Howl, the magician (fictitious character), fiction|Young adults|Juvenile fiction",212
Finally seen,"Yang, Kelly.",9781534488335,F,FIC,Family life -- Fiction. | School stories | Adjustment (Psychology) -- Fiction. | Chinese Americans -- Fiction.,"When ten-year-old Lina Gao leaves China to live with her parents and sister, after five years apart, she must reckon with her hurt, anger, and curiosity and find a way to get her bearings in this new country--and the almost-new family that comes along with it.",,4.3.,,nyt:childrens-middle-grade-hardcover=2023-03-19|New York Times bestseller,304,,,,,"When ten-year-old Lina Gao leaves China to live with her parents and sister, after five years apart, she must reckon with her hurt, anger, and curiosity and find a way to get her bearings in this new country--and the almost-new family that comes along with it.",Family life -- Fiction. | School stories | Adjustment (Psychology) -- Fiction. | Chinese Americans -- Fiction.|nyt:childrens-middle-grade-hardcover=2023-03-19|New York Times bestseller,304
Imposter syndrome and other confessions of Alejandra Kim,"Park, Patricia (Fiction writer)",9780593563373,F,FIC,Racially mixed people -- Fiction. | Preparatory schools -- Fiction. | Fathers -- Fiction. -- Death | Bildungsromans.,"When a microaggression at her wealthy Manhattan high school thrusts her into the spotlight, Alejandra Kim, a daughter of second-generation Korean Argentines who feels like an outcast, must carve out a place for herself while dealing with the loss of her father.",,Young Adult,,,,,,,,"When a microaggression at her wealthy Manhattan high school thrusts her into the spotlight, Alejandra Kim, a daughter of second-generation Korean Argentines who feels like an outcast, must carve out a place for herself while dealing with the loss of her father.",Racially mixed people -- Fiction. | Preparatory schools -- Fiction. | Fathers -- Fiction. -- Death | Bildungsromans.,
Linked,"Korman, Gordon.",9781338629118,F,FIC,Antisemitism -- Fiction. | Prejudices -- Fiction. | Swastikas -- Fiction. | School stories.,"When swastikas begin appearing all over town, Link, Michael, and Dana, the only Jewish girl in town, must face crimes both past and present to find the truth.",,5.0.,,,,,,,,,,
Lotus Bloom and the Afro revolution,"Winston, Sherri.",9781547608461,F,FIC,Middle schools -- Fiction. | School stories. | Student movements -- Fiction. | Friendship -- Fiction. | African Americans -- Fiction.,"Twelve-year-old Lotus Blossom, normally a peace-loving free spirit, must summon the courage to fight against a racist dress code and stand up for herself.",,3-6,,,304,,,,,"Twelve-year-old Lotus Blossom, normally a peace-loving free spirit, must summon the courage to fight against a racist dress code and stand up for herself.",Middle schools -- Fiction. | School stories. | Student movements -- Fiction. | Friendship -- Fiction. | African Americans -- Fiction.,304
Momo Arashima steals the sword of the wind,"Sugiura, Misa.",9780593564066,F,FIC,Shinto -- Fiction. | Gods and goddesses -- Fiction. | Ability -- Fiction. | Japanese Americans -- Fiction. | Fantasy fiction.,"""All Momo wants for her twelfth birthday is an ordinary life, but instead she finds out she is half human, half goddess and must unlock her divine powers to save her mother's life and keep countless evil spirits from escaping Yomi, the land of the dead""--OCLC.",,6.1.,,,384,,,,,"""All Momo wants for her twelfth birthday is an ordinary life, but instead she finds out she is half human, half goddess and must unlock her divine powers to save her mother's life and keep countless evil spirits from escaping Yomi, the land of the dead""--OCLC.",Shinto -- Fiction. | Gods and goddesses -- Fiction. | Ability -- Fiction. | Japanese Americans -- Fiction. | Fantasy fiction.,384
Moonflower,"Callender, Kacen.",9781338636598,F,FIC,African Americans -- Fiction. | Identity (Psychology) -- Fiction. | Mental illness -- Fiction. | Imagination -- Fiction. | Mother-daughter relationship -- Fiction.,"Moon is convinced that she does not belong to this world: that most of the time she is invisible (unless she stays still too long), that she belongs to the stars, and wants to go back to them--she lives entirely in her imagination with an imaginary spirit guide who can appear in any shape and refuses to speak to anyone, lest her words tie her to a world she rejects.",,3-6,,,,,,,,"Moon is convinced that she does not belong to this world: that most of the time she is invisible (unless she stays still too long), that she belongs to the stars, and wants to go back to them--she lives entirely in her imagination with an imaginary spirit guide who can appear in any shape and refuses to speak to anyone, lest her words tie her to a world she rejects.",African Americans -- Fiction. | Identity (Psychology) -- Fiction. | Mental illness -- Fiction. | Imagination -- Fiction. | Mother-daughter relationship -- Fiction.,
Serwa Boateng's guide to vampire hunting,"Brown, Roseanne A.",9781368066365,F,FIC,Vampires -- Fiction. | Magic -- Fiction. | African mythology -- Fiction. | Ghanaians -- Fiction. -- United States | Good and evil -- Fiction. | Middle schools -- Fiction. | School stories -- Fiction. | Supernatural -- Fiction. | Paranormal fiction.,"After her home is attacked by shapeshifting vampires, twelve-year-old Serwa Boateng is sent to live with her aunt and cousin in Maryland, but the aspiring vampire hunter discovers that middle school is harder than it appears on television, especially when she has to avoid detention and turn her classmates into warriors before they become vampire food.",,5-8,,,,,,,,"After her home is attacked by shapeshifting vampires, twelve-year-old Serwa Boateng is sent to live with her aunt and cousin in Maryland, but the aspiring vampire hunter discovers that middle school is harder than it appears on television, especially when she has to avoid detention and turn her classmates into warriors before they become vampire food.",Vampires -- Fiction. | Magic -- Fiction. | African mythology -- Fiction. | Ghanaians -- Fiction. -- United States | Good and evil -- Fiction. | Middle schools -- Fiction. | School stories -- Fiction. | Supernatural -- Fiction. | Paranormal fiction.,
Simon sort of says,"Bow, Erin.",9781368082853,F,FIC,Psychic trauma -- Fiction. | School shootings -- Fiction. | Interstellar communication -- Fiction.,"Two years after a tragedy saddles him with viral fame, twelve-year-old Simon O'Keeffe and his family move to Grin And Bear It, Nebraska, where the internet and cell phones are banned so astrophysicists can scan the sky for signs of alien life, and where, with the help of two new friends, a puppy, and a giant radio telescope, Simon plans to restart the narrative of his life.",,5.8.,,Newbery Honor,,,,,,"Two years after a tragedy saddles him with viral fame, twelve-year-old Simon O'Keeffe and his family move to Grin And Bear It, Nebraska, where the internet and cell phones are banned so astrophysicists can scan the sky for signs of alien life, and where, with the help of two new friends, a puppy, and a giant radio telescope, Simon plans to restart the narrative of his life.",Psychic trauma -- Fiction. | School shootings -- Fiction. | Interstellar communication -- Fiction.|Newbery Honor,
A song called home,"Zarr, Sara.",9780063044920,F,FIC,Family life -- Fiction. | Change (Psychology) -- Fiction. | Guitar -- Fiction.,"Receiving a mysterious guitar the night before she leaves the city to live with her mom and new stepdad, Lou believes that if she learns how to play it, she can bring a piece of her old life home.",,5.7.,,,,,,,,"Receiving a mysterious guitar the night before she leaves the city to live with her mom and new stepdad, Lou believes that if she learns how to play it, she can bring a piece of her old life home.",Family life -- Fiction. | Change (Psychology) -- Fiction. | Guitar -- Fiction.,
The water bears,"Baker, Kimberly.",9781984852212,F,FIC,Latinos (U.S.) -- Fiction. | Wishes -- Fiction. | Animal attacks -- Fiction.,"""Newt Gomez has a thing with bears. Last year he survived a bear attack. And this year, he finds an unusual bear statue that just might grant wishes. Newt's best friend, Ethan, notices a wishbone on the statue and decides to make a wish. When it comes true, Newt thinks it's a coincidence. Even as more people wish on the bear and their wishes come true, Newt is not convinced. But Newt has a wish too: while he loves his home on eccentric Murphy Island, he wants to go to middle school on the mainland, where his warm extended family lives. There, he's not the only Latinx kid, he won't have to drive the former taco truck--a gift from his parents--and he won't have to perform in the talent show. Most importantly, on the mainland, he never has bad dreams about the attack. Newt is almost ready to make a secret wish when everything changes""--Publisher.",,4.3.,,Children's fiction,272,,,,,"""Newt Gomez has a thing with bears. Last year he survived a bear attack. And this year, he finds an unusual bear statue that just might grant wishes. Newt's best friend, Ethan, notices a wishbone on the statue and decides to make a wish. When it comes true, Newt thinks it's a coincidence. Even as more people wish on the bear and their wishes come true, Newt is not convinced. But Newt has a wish too: while he loves his home on eccentric Murphy Island, he wants to go to middle school on the mainland, where his warm extended family lives. There, he's not the only Latinx kid, he won't have to drive the former taco truck--a gift from his parents--and he won't have to perform in the talent show. Most importantly, on the mainland, he never has bad dreams about the attack. Newt is almost ready to ",Latinos (U.S.) -- Fiction. | Wishes -- Fiction. | Animal attacks -- Fiction.|Children's fiction,272
The 9:09 project,"Parsons, Mark H.",9780593309759,F,FIC,Grief -- Fiction. | Photography -- Fiction. | Synesthesia -- Fiction. | Family life -- Fiction. | Friendship -- Fiction. | High schools -- Fiction. | School stories.,"Seventeen-year-old Jamison finds hope after the loss of his mother, and recognizes the role that family, friends, and even strangers can play in the healing process if you are open and willing to share your experience with others.",,Young Adult,,,,,,,,"Seventeen-year-old Jamison finds hope after the loss of his mother, and recognizes the role that family, friends, and even strangers can play in the healing process if you are open and willing to share your experience with others.",Grief -- Fiction. | Photography -- Fiction. | Synesthesia -- Fiction. | Family life -- Fiction. | Friendship -- Fiction. | High schools -- Fiction. | School stories.,
Danny Constantino's first (and maybe last?) date,"Acampora, Paul.",9781984816610,F,FIC,Dating (Social customs) -- Fiction. | Celebrities -- Fiction. | Elections -- Fiction. | Middle schools -- Fiction. | School stories.,"""Between going to the middle school dance with his celebrity crush and watching his mom campaign to be the next town mayor, Danny has a lot to learn about life in the spotlight""--Provided by publisher.",,5-8,,Children's fiction,224,,,,,"""Between going to the middle school dance with his celebrity crush and watching his mom campaign to be the next town mayor, Danny has a lot to learn about life in the spotlight""--Provided by publisher.",Dating (Social customs) -- Fiction. | Celebrities -- Fiction. | Elections -- Fiction. | Middle schools -- Fiction. | School stories.|Children's fiction,224
My own lightning,"Wolk, Lauren 1956-",9780525555599,F,FIC,Conduct of life -- Fiction. | Lightning -- Fiction. | Family life -- Fiction. -- Pennsylvania | Bildungsromans.,"Several months after the tragic events set in motion by bully Betty Glengarry, Annabelle McBride is struck by lightning during a powerful summer storm, leaving her with heightened senses that give her a new understanding of animals and help her learn about compassion and forgiveness.",,5.7.,,,,,,,,"Several months after the tragic events set in motion by bully Betty Glengarry, Annabelle McBride is struck by lightning during a powerful summer storm, leaving her with heightened senses that give her a new understanding of animals and help her learn about compassion and forgiveness.",Conduct of life -- Fiction. | Lightning -- Fiction. | Family life -- Fiction. -- Pennsylvania | Bildungsromans.,
Saints of the household,"Tison, Ari.",9780374389499,F,FIC,Brothers -- Fiction. | Human behavior -- Fiction. | Violence -- Fiction. | Father-son relationship -- Fiction. | Costa Rican Americans -- Fiction. | Bribri Indians -- Fiction. | Native Americans -- Fiction. -- Central America -- Costa Rica,"""When brothers Max and Jay help a classmate in trouble, they struggle with the consequences of their violent actions and worry they may be more like their abusive father than they thought, so the brothers turn to their Bribri roots to find their way forward""--OCLC.",,HL 680,,,304,,,,,"""When brothers Max and Jay help a classmate in trouble, they struggle with the consequences of their violent actions and worry they may be more like their abusive father than they thought, so the brothers turn to their Bribri roots to find their way forward""--OCLC.",Brothers -- Fiction. | Human behavior -- Fiction. | Violence -- Fiction. | Father-son relationship -- Fiction. | Costa Rican Americans -- Fiction. | Bribri Indians -- Fiction. | Native Americans -- Fiction. -- Central America -- Costa Rica,304
The Windeby puzzle  history and story,"Lowry, Lois.",9780358672500,F,FIC,Iron Age -- Fiction. | Friendship -- Fiction. | Orphans -- Fiction. | People with disabilities -- Fiction. | Historical fiction.,"Told in two voices, two outcasts in an Iron Age village befriend each other, as disabled, orphaned Varick helps Estrild achieve her dream of becoming the first female warrior. Inspired by the Windeby bog body.",,6.0.,,nyt:childrens-middle-grade-hardcover=2023-03-05|New York Times bestseller,,,,,,"Told in two voices, two outcasts in an Iron Age village befriend each other, as disabled, orphaned Varick helps Estrild achieve her dream of becoming the first female warrior. Inspired by the Windeby bog body.",Iron Age -- Fiction. | Friendship -- Fiction. | Orphans -- Fiction. | People with disabilities -- Fiction. | Historical fiction.|nyt:childrens-middle-grade-hardcover=2023-03-05|New York Times bestseller,
Brighter than the moon,"Valdes Greenwood, David.",9781547607167,F,FIC,Online dating -- Fiction. | Identity (Psychology) -- Fiction. | Secrecy -- Fiction. | Gays -- Fiction. | Romance fiction.,"When online friends Jonas and Shani meet for the first time, they along with Shani's best Ash, find they are all keeping secrets, and coming clean will require them to figure out who they really are, which is not easy when one's identity goes beyond labels.",,Young Adult,,,352,,,,,"When online friends Jonas and Shani meet for the first time, they along with Shani's best Ash, find they are all keeping secrets, and coming clean will require them to figure out who they really are, which is not easy when one's identity goes beyond labels.",Online dating -- Fiction. | Identity (Psychology) -- Fiction. | Secrecy -- Fiction. | Gays -- Fiction. | Romance fiction.,352
Camp QUILTBAG,"Melleby, Nicole.",9781643752662,F,FIC,LGBT people -- Fiction. | Friendship -- Fiction. | Camps -- Fiction.,"""After a bit of a rocky start at Camp QUILTBAG, an inclusive retreat for queer and trans kids, Abigail and Kai make a pact to help each other find their footing, all while navigating crushes, their queer identities, and a competition pitting cabin against cabin""--Provided by publisher.",,6.4.,,,352,,,,,"""After a bit of a rocky start at Camp QUILTBAG, an inclusive retreat for queer and trans kids, Abigail and Kai make a pact to help each other find their footing, all while navigating crushes, their queer identities, and a competition pitting cabin against cabin""--Provided by publisher.",LGBT people -- Fiction. | Friendship -- Fiction. | Camps -- Fiction.,352
Enter the body,"McCullough, Joy.",9780593406755,F,FIC,Characters and characteristics in literature -- Fiction. | Teenage girls -- Fiction. | Theaters -- Fiction.,"In the room beneath a theater stage, the ghosts of Juliet, Ophelia, Cordelia, and other teenage girls who died tragically in Shakespeare's plays, share their experiences and trauma and get the chance to retell the stories of their lives in their own terms.",,Young Adult,,,336,,,,,"In the room beneath a theater stage, the ghosts of Juliet, Ophelia, Cordelia, and other teenage girls who died tragically in Shakespeare's plays, share their experiences and trauma and get the chance to retell the stories of their lives in their own terms.",Characters and characteristics in literature -- Fiction. | Teenage girls -- Fiction. | Theaters -- Fiction.,336
"The many assassinations of Samir, the Seller of Dreams","Nayeri, Daniel.",9781646143030,F,FIC,Assassins -- Fiction. | Adventure fiction | Adventure fiction.,"""This is the tale of an exciting journey along the Silk Road with a young Monk and his newfound guardian, Samir, a larger than life character and the so-called ""Seller of Dreams."" The man is a scammer; his biggest skill being the ability to talk his way into getting what he wants. While that talking did save Monkey's life, it has left a lot of people furious with Samir--furious enough to hire assassins. Monkey decides to try and save Samir from the attempts on his life--as a way to pay off his debt! If he can save Samir six times, he'll be a free man...but will they all survive that long?""-- Provided by publisher.",,5.0.,,Children's fiction|Newbery Honor,224,,,,,"""This is the tale of an exciting journey along the Silk Road with a young Monk and his newfound guardian, Samir, a larger than life character and the so-called ""Seller of Dreams."" The man is a scammer; his biggest skill being the ability to talk his way into getting what he wants. While that talking did save Monkey's life, it has left a lot of people furious with Samir--furious enough to hire assassins. Monkey decides to try and save Samir from the attempts on his life--as a way to pay off his debt! If he can save Samir six times, he'll be a free man...but will they all survive that long?""-- Provided by publisher.",Assassins -- Fiction. | Adventure fiction | Adventure fiction.|Children's fiction|Newbery Honor,224
Winterborne Home for vengeance and valor,"Carter, Ally.",9780358003199,F,FIC,Orphans -- Fiction. | Wealth -- Fiction. | Missing persons -- Fiction. | Mansions -- Fiction. | Mystery fiction. | Mystery fiction.,"After years in foster care, April gets to live in a mansion where she and four other children are caught up in a mystery related to a missing heir, a lost legacy, and the Phantom.",,4.6.,,Children's fiction|Mystery|Adventure|Missing heirs,336,,,,,"After years in foster care, April gets to live in a mansion where she and four other children are caught up in a mystery related to a missing heir, a lost legacy, and the Phantom.",Orphans -- Fiction. | Wealth -- Fiction. | Missing persons -- Fiction. | Mansions -- Fiction. | Mystery fiction. | Mystery fiction.|Children's fiction|Mystery|Adventure|Missing heirs,336
World made of glass,"Polonsky, Ami.",9780316462044,F,FIC,Fathers -- Fiction. | Grief -- Fiction. | AIDS (Disease) -- Fiction. | Prejudices -- Fiction.,"""Iris opens her eyes to hard truths and the power of her voice when her father dies of AIDS in 1987""--Provided by publisher.",,5-8,,Children's fiction,,,,,,"""Iris opens her eyes to hard truths and the power of her voice when her father dies of AIDS in 1987""--Provided by publisher.",Fathers -- Fiction. | Grief -- Fiction. | AIDS (Disease) -- Fiction. | Prejudices -- Fiction.|Children's fiction,
Aniana del Mar jumps in,"Méndez, Jasminne.",9780593531815,F,FIC,Swimmers -- Fiction. | Dominican Americans -- Fiction. | Mother-daughter relationship -- Fiction. | People with disabilities -- Fiction.,"""Aniana del Mar belongs in the water like a dolphin belongs to the sea. But she and Papi keep her swim practices and meets hidden from Mami, who has never recovered from losing someone she loves to the water years ago. That is, until the day Ani's stiffness and swollen joints mean she can no longer get out of bed, and Ani is forced to reveal just how important swimming is to her. What follows is the journey of a girl who must grieve who she once was in order to rise like the tide and become the young woman she is meant to be""--",,5.7.,,,,,,,,"""Aniana del Mar belongs in the water like a dolphin belongs to the sea. But she and Papi keep her swim practices and meets hidden from Mami, who has never recovered from losing someone she loves to the water years ago. That is, until the day Ani's stiffness and swollen joints mean she can no longer get out of bed, and Ani is forced to reveal just how important swimming is to her. What follows is the journey of a girl who must grieve who she once was in order to rise like the tide and become the young woman she is meant to be""--",Swimmers -- Fiction. | Dominican Americans -- Fiction. | Mother-daughter relationship -- Fiction. | People with disabilities -- Fiction.,
A bit of Earth,"Riazi, Karuna.",9780063098664,F,FIC,Pakistanis -- Fiction. | Family life -- Fiction. | Homesickness -- Fiction. | Gardens -- Fiction.,"""Difficult child Maria Latif arrives in Long Island from Pakistan to live with the strange Clayborne family where she discovers an off-limits garden that becomes a place where she finally feels at home""--Provided by publisher.",,6.9.,,,368,,,,,"""Difficult child Maria Latif arrives in Long Island from Pakistan to live with the strange Clayborne family where she discovers an off-limits garden that becomes a place where she finally feels at home""--Provided by publisher.",Pakistanis -- Fiction. | Family life -- Fiction. | Homesickness -- Fiction. | Gardens -- Fiction.,368
Confessions of a candy snatcher,"Sinclair, Phoebe.",9781536213683,F,FIC,African Americans -- Fiction. | Bullies -- Fiction. | Friendship -- Fiction. | Middle schools -- Fiction.,"""For the past few years, twelve-year-old Jonas and his friends have competed to see how many bags of candy they can grab from unsuspecting trick-or-treaters. No one's supposed to get hurt, just lose their treats. So Jonas is taken by surprise when one of his smaller targets fights back against his snatching attempt. He's even more surprised when he starts to receive anonymous notes from someone who knows what happened that night. Jonas already has enough on his plate, between his parents' ill-defined separation and his own guilt--guilt his friend Concepción challenges him to confront in a zine she's creating around the prompt 'What's the worst thing you ever did?' It's a complicated question, one that touches on issues of identity, maturity, physical boundaries, and safety""--Provided by publisher.",,5.4.,,"Adolescence, fiction|Halloween, fiction|Multiculturalism, fiction",336,,,,,"""For the past few years, twelve-year-old Jonas and his friends have competed to see how many bags of candy they can grab from unsuspecting trick-or-treaters. No one's supposed to get hurt, just lose their treats. So Jonas is taken by surprise when one of his smaller targets fights back against his snatching attempt. He's even more surprised when he starts to receive anonymous notes from someone who knows what happened that night. Jonas already has enough on his plate, between his parents' ill-defined separation and his own guilt--guilt his friend Concepción challenges him to confront in a zine she's creating around the prompt 'What's the worst thing you ever did?' It's a complicated question, one that touches on issues of identity, maturity, physical boundaries, and safety""--Provided by pu","African Americans -- Fiction. | Bullies -- Fiction. | Friendship -- Fiction. | Middle schools -- Fiction.|Adolescence, fiction|Halloween, fiction|Multiculturalism, fiction",336
Greenwild  the world behind the door,"Thomson, Pari.",9780374391379,F,FIC,Missing persons -- Fiction. | Magic -- Fiction. | Imaginary places -- Fiction. | Mother-daughter relationship -- Fiction. | Identity -- Fiction. | Fantasy fiction.,"On the run after her mother disappears, eleven-year-old Daisy Thistledown steps through a mysterious hidden doorway and enters the realm of Greenwild, where she must uncover the truth about who she really is to save this land of magic and amazing natural wonders from being destroyed.",,5.2.,,,384,,,,,"On the run after her mother disappears, eleven-year-old Daisy Thistledown steps through a mysterious hidden doorway and enters the realm of Greenwild, where she must uncover the truth about who she really is to save this land of magic and amazing natural wonders from being destroyed.",Missing persons -- Fiction. | Magic -- Fiction. | Imaginary places -- Fiction. | Mother-daughter relationship -- Fiction. | Identity -- Fiction. | Fantasy fiction.,384
Her radiant curse,"Lim, Elizabeth.",9780593300992,F,FIC,Sisters -- Fiction. | Family life -- Fiction. | Magic -- Fiction. | Betrothal -- Fiction. | Contests -- Fiction. | Fantasy fiction.,"""Two sisters, one as beautiful as the moon and the other monstrous, must fight to save each other when a betrothal contest goes wrong""--Provided by publisher.",,Young Adult,,nyt:young-adult-hardcover=2023-09-17|New York Times bestseller,,,,,,"""Two sisters, one as beautiful as the moon and the other monstrous, must fight to save each other when a betrothal contest goes wrong""--Provided by publisher.",Sisters -- Fiction. | Family life -- Fiction. | Magic -- Fiction. | Betrothal -- Fiction. | Contests -- Fiction. | Fantasy fiction.|nyt:young-adult-hardcover=2023-09-17|New York Times bestseller,
The labors of Hercules Beal,"Schmidt, Gary D.",9780358659631,F,FIC,Orphans -- Fiction. | Brothers -- Fiction. | Friendship -- Fiction. | Middle schools -- Fiction. | School stories. | Mythology -- Fiction.,"Seventh-grader Hercules Beal has to figure out how to fulfill his teacher's assignment of performing the Twelve Labors of Hercules in real life, and discovers important things about friendship, community, and himself along the way.",,4.0.,,,352,,,,,"Seventh-grader Hercules Beal has to figure out how to fulfill his teacher's assignment of performing the Twelve Labors of Hercules in real life, and discovers important things about friendship, community, and himself along the way.",Orphans -- Fiction. | Brothers -- Fiction. | Friendship -- Fiction. | Middle schools -- Fiction. | School stories. | Mythology -- Fiction.,352
Top story,"Yang, Kelly.",9781338858396,F,FIC,Chinese Americans -- Fiction. | Journalism -- Fiction. | Family life -- Fiction. | Friendship -- Fiction. | Interpersonal relations -- Fiction.,"""Mia Tang is at the top of her game! She's spending winter break with Mom, Lupe, Jason, and Hank in San Francisco's Chinatown! Rich with history and hilarious aunties and uncles, it's the place to find a great story--one she hopes to publish while attending journalism camp at the Tribune. But this trip has as many bumps as the hills of San Francisco... 1. Mia's camp is full of older kids, with famous relatives, fancy laptops, and major connections! Can she compete with just her pen and passion? 2. Lupe's thinking about skipping ahead to college! Will Mia ever get a chance to just chill with her best friend? 3. Jason's crushing hard on a new girl. For the first time ever, Mia is speechless...and jealous. Can she find the courage to tell Jason--gulp--that she has a crush on him? Even for the best writers, it's not always easy to find the right words. But if anyone can tell a top story, it's Mia Tang!""--Provided by publisher.",A front desk novel,4.8.,,,304,,,,,"""Mia Tang is at the top of her game! She's spending winter break with Mom, Lupe, Jason, and Hank in San Francisco's Chinatown! Rich with history and hilarious aunties and uncles, it's the place to find a great story--one she hopes to publish while attending journalism camp at the Tribune. But this trip has as many bumps as the hills of San Francisco... 1. Mia's camp is full of older kids, with famous relatives, fancy laptops, and major connections! Can she compete with just her pen and passion? 2. Lupe's thinking about skipping ahead to college! Will Mia ever get a chance to just chill with her best friend? 3. Jason's crushing hard on a new girl. For the first time ever, Mia is speechless...and jealous. Can she find the courage to tell Jason--gulp--that she has a crush on him? Even for the",Chinese Americans -- Fiction. | Journalism -- Fiction. | Family life -- Fiction. | Friendship -- Fiction. | Interpersonal relations -- Fiction.,304
Will on the inside,"Eliopulos, Andrew.",9780063228702,F,FIC,Middle school boys -- Fiction. | Crohn's disease patients -- Fiction. | Gay teenagers -- Fiction. | Friendship -- Fiction. | Bildungsromans.,"""After dedicated soccer player Will is sidelined from the season--and his friend group--due to complications from his newly diagnosed Crohn's disease, he finds himself figuring out who he really is on the inside""--Provided by publisher.",,4.9.,,,,,,,,"""After dedicated soccer player Will is sidelined from the season--and his friend group--due to complications from his newly diagnosed Crohn's disease, he finds himself figuring out who he really is on the inside""--Provided by publisher.",Middle school boys -- Fiction. | Crohn's disease patients -- Fiction. | Gay teenagers -- Fiction. | Friendship -- Fiction. | Bildungsromans.,
Wishing season,"Rissi, Anica Mrose.",9780063258907,F,FIC,Twins -- Fiction. | Death -- Fiction. | Bereavement -- Fiction. | Conduct of life -- Fiction.,"""A moving middle grade story...about the enduring bond between twins: Anders, who has recently died, and Lily, who has to balance her grief and confusion with a brother who isn't quite gone--and how to navigate a world that is moving forward without him""--Provided by publisher.",,5.2.,,,,,,,,"""A moving middle grade story...about the enduring bond between twins: Anders, who has recently died, and Lily, who has to balance her grief and confusion with a brother who isn't quite gone--and how to navigate a world that is moving forward without him""--Provided by publisher.",Twins -- Fiction. | Death -- Fiction. | Bereavement -- Fiction. | Conduct of life -- Fiction.,
Ellen outside the lines,"Sass, A. J.",9780759556270,F,FIC,Autism -- Fiction. | Foreign study -- Fiction. | Gender identity -- Fiction. | Sexual orientation -- Fiction. | Friendship -- Fiction. | Jews -- Fiction.,"""Ellen, an autistic thirteen-year-old, navigates a new city, shifting friendships, a growing crush, and her queer and Jewish identities while on a class trip to Barcelona, Spain""--Provided by publisher.",,5.0.,,,336,,,,,"""Ellen, an autistic thirteen-year-old, navigates a new city, shifting friendships, a growing crush, and her queer and Jewish identities while on a class trip to Barcelona, Spain""--Provided by publisher.",Autism -- Fiction. | Foreign study -- Fiction. | Gender identity -- Fiction. | Sexual orientation -- Fiction. | Friendship -- Fiction. | Jews -- Fiction.,336
